區域,分類,活動名稱（完整）,顯示名稱,描述,標籤,Google Maps,備註
曼谷,夜生活,"BEEF 夜店","BEEF","曼谷最知名 Gay Bar，週一夜晚氣氛最旺盛。位於 Silom Soi 2，通常 23:00 後最熱鬧，建議晚點入場。","Silom 區、週一最旺、曼谷指標、Gay-friendly","https://maps.google.com/?q=BEEF+Bar+Bangkok+Silom+Soi+2",""
曼谷,夜生活,"Barber（週一公休）","Barber","Silom 人氣酒吧，裝潢復古，氣氛輕鬆，週二至週日營業。週一公休，請注意安排日期。","Silom Soi 4、週一公休、週二起開放","https://maps.google.com/?q=Barber+Gay+Bar+Silom+Soi+4+Bangkok",""
曼谷,夜生活,"Mania Sauna（每日）","Mania Sauna","曼谷大型桑拿會所，設備完善，每日 24 小時營業。位於 Rama 4 路，Grab 可直達。","24hr 開放、Rama 4 路、每日可去","https://maps.google.com/?q=Mania+Sauna+Bangkok+Rama+4",""
曼谷,夜生活,"Heaven Sauna（桑拿）","Heaven Sauna","Silom 區知名同志桑拿，以 Bear / Muscle Otter 客群為主，設施含深色空間、露台花園、按摩浴缸、健身房。位於 Soi Mahesak BIS Building 4F，開放時間 13:00–22:00，週二至週日確定開放（週一建議提前確認）。","Soi Mahesak、BIS Building 4F、13:00–22:00、Bear/Muscle Otter、週一需確認","https://maps.google.com/?q=Heaven+Sauna+Bangkok+119+Soi+Mahesak",""
曼谷,夜生活,"Cake（週一二公休）","Cake","曼谷人氣同志夜店「The Cutesy Nightclub」，以 Pop / Dance 音樂風格聞名。週三四日 20:00–00:00，週五六 21:00–03:00，週一二公休。","週三起開放、Silom 區、Pop Dance、週一二❌","https://maps.google.com/?q=Cake+Bangkok+Nightclub+Silom",""
曼谷,夜生活,"HUGs 熊吧（週一二公休）","HUGs 熊吧","Silom Soi 4 主要的熊圈（Bear Bar）與卡拉 OK，歡迎所有年齡層。週三四日 20:00–01:00，週五六 20:00–02:00，週一二公休。","週三起開放、Silom Soi 4、熊圈卡拉OK、週一二❌","https://maps.google.com/?q=HUGs+Bar+82+Silom+Soi+4+Bangkok",""
曼谷,夜生活,"DJ Station","DJ Station","曼谷 Silom 區最知名的同志夜店之一，多層樓設計，音樂以 EDM 和流行舞曲為主，週末人潮最多。位於 Silom Soi 2，約 23:00 後最熱鬧。","Silom Soi 2、EDM 舞曲、週末最旺、多層樓","https://maps.google.com/?q=DJ+Station+Bangkok+Silom",""
曼谷,夜生活,"GOD 酒吧","GOD","Silom 區人氣酒吧，裝潢現代時尚，氣氛活潑，提供調酒與啤酒。週五週六最熱鬧，建議 22:00 後前往。","Silom 區、現代時尚、週末熱鬧、調酒","https://maps.google.com/?q=GOD+Bar+Bangkok+Silom",""
曼谷,購物,"ICONSIAM","ICONSIAM","昭披耶河畔超大型購物中心，含泰國傳統市集 SookSiam（必逛）、高端品牌與美食街。BTS Gold Line 可直達 ICONSIAM 站。","BTS Gold Line、河畔景觀、SookSiam 市集、高端品牌","https://maps.google.com/?q=ICONSIAM+Bangkok",""
曼谷,購物,"Siam Paragon","Siam Paragon","曼谷頂級百貨，奢侈品牌與保養專櫃最齊全，B2 有大型水族館，地下美食街選擇豐富。Siam BTS 站直達。","Siam BTS、頂級百貨、保養專櫃、水族館","https://maps.google.com/?q=Siam+Paragon+Bangkok",""
曼谷,購物,"CentralWorld","CentralWorld","全曼谷最大購物中心，品牌跨度廣，包含旗艦版 Apple Store 與全泰國最大連鎖藥妝店。BTS Chit Lom 步行可達。","Chit Lom BTS、最大商場、Apple Store、藥妝","https://maps.google.com/?q=CentralWorld+Bangkok",""
曼谷,購物,"EmSphere","EmSphere","2023 年底開幕的曼谷新地標。工業設計風，擁有市中心唯一 IKEA 與大量潮流設計品牌，氣氛年輕。BTS Phrom Phong 站直達。","2023年新開、IKEA、潮流品牌、Phrom Phong BTS","https://maps.google.com/?q=EmSphere+Bangkok",""
曼谷,購物,"Siam Discovery","Siam Discovery","採開放式櫃位設計，引進大量國際與泰國設計師精品、科技 Gadgets 及居家小物，風格鮮明。Siam BTS 站直達。","設計師選物、科技Gadgets、Siam BTS、開放式空間","https://maps.google.com/?q=Siam+Discovery+Bangkok",""
曼谷,購物,"MBK Center","MBK","平價購物商場，電子產品、手機配件、泰式紀念品一應俱全，可殺價。National Stadium BTS 站步行可達。","平價購物、可殺價、電子產品、National Stadium BTS","https://maps.google.com/?q=MBK+Center+Bangkok",""
曼谷,購物,"Chatuchak 週末市集","Chatuchak","全球最大露天市集，超過 15,000 個攤位。注意：週一至週四幾乎不營業，週五為批發日，一般遊客建議鎖定週六或週日前往。Mo Chit BTS / MRT 站。","週六日限定、Mo Chit BTS、超過 15,000 攤、文創古著","https://maps.google.com/?q=Chatuchak+Weekend+Market+Bangkok",""
曼谷,購物,"Jodd Fairs (Rama 9)","Jodd Fairs (MRT Phra Ram 9)","原 Ratchada 舊址已遷移，目前交通最便利的版本位於 MRT Phra Ram 9 站旁。街頭美食（招牌火山排骨）、文創服飾與設計攤位聚集，氣氛熱鬧。另有 2023 年新開的 Dan Neramit（城堡造景版），風格略有不同。","MRT Phra Ram 9、火山排骨、文創設計、已遷址","https://maps.google.com/?q=Jodd+Fairs+Phra+Ram+9+Bangkok",""
曼谷,購物,"Asiatique 河濱夜市","Asiatique","昭披耶河畔復古倉庫改建的景點，含餐廳、酒吧、摩天輪。注意：目前購物力較弱，觀光化程度高，更適合做為景觀餐飲與夕陽打卡的目的地而非購物。每日 17:00 後開放，免費接駁船從 Saphan Taksin 出發。","每日 17:00 開、景觀打卡、摩天輪、⚠️購物力減弱","https://maps.google.com/?q=Asiatique+The+Riverfront+Bangkok",""
